Time,X,Y,Z,Mag
0.1669,-2.83874,1.058,6.89959,7.535393218
0.167,-2.68104,0.94044,6.81745,7.385799034
0.1671,-2.79932,1.09718,6.73532,7.375942782
0.1672,-2.75989,1.09718,7.06387,7.662836038
0.1673,-2.60218,0.979625,7.14601,7.66788529
0.1674,-2.52333,1.17555,7.14601,7.66906585
0.1675,-2.64161,1.21473,7.18708,7.752921468
0.1676,-2.52333,1.13636,7.0228,7.548392423
0.1677,-2.28677,1.13636,6.94066,7.395498112
0.1678,-2.32619,1.21473,6.89959,7.381806761
0.1679,-2.52333,1.21473,6.98173,7.522454191
0.168,-2.36562,1.09718,6.98173,7.452819314
0.1681,-2.44447,1.21473,7.0228,7.534634855
0.1682,-2.44447,1.21473,6.98173,7.496369544
0.1683,-2.36562,1.01881,7.10494,7.557400625
0.1684,-2.4839,0.94044,7.18708,7.662134528
0.1685,-2.44447,0.901255,7.47456,7.915601136
0.1686,-2.4839,1.058,7.51563,7.985851082
0.1687,-2.64161,0.94044,7.39242,7.906352145
0.1688,-2.83874,0.901255,7.39242,7.969854379
0.1689,-2.83874,1.01881,7.63883,8.212681801
0.169,-2.56275,0.979625,7.39242,7.885126896
0.1691,-2.32619,1.13636,7.18708,7.639148702
0.1692,-2.32619,1.01881,7.22814,7.661275455
0.1693,-2.32619,1.01881,7.5567,7.972004053
0.1694,-2.36562,0.979625,7.39242,7.823279145
0.1695,-2.44447,1.01881,7.47456,7.929845811
0.1696,-2.72046,0.7837,7.47456,7.992755188
0.1697,-2.72046,0.979625,7.76204,8.283105258
0.1698,-2.75989,0.70533,7.63883,8.152680969
0.1699,-2.75989,0.94044,7.6799,8.214760144
0.17,-2.87817,0.7837,7.47456,8.047800658
0.1701,-2.64161,0.666145,7.72097,8.187504522
0.1702,-2.75989,0.822885,7.72097,8.24060133
0.1703,-2.72046,0.979625,7.59776,8.129361892
0.1704,-2.36562,1.09718,7.59776,8.032802684
0.1705,-2.56275,0.94044,7.47456,7.957459529
0.1706,-2.75989,0.822885,7.63883,8.163691341
0.1707,-2.79932,0.7837,7.5567,8.096548218
0.1708,-2.75989,0.7837,7.72097,8.236780697
0.1709,-2.75989,0.744515,7.72097,8.23314479
0.171,-2.64161,0.666145,7.6799,8.148786202
0.1711,-2.72046,0.62696,7.72097,8.210198487
0.1712,-2.68104,0.666145,7.92632,8.39394266
0.1713,-2.75989,0.70533,7.72097,8.229693856
0.1714,-2.75989,0.62696,7.72097,8.223347822
0.1715,-2.72046,0.587775,7.72097,8.207299178
0.1716,-2.75989,0.509405,7.72097,8.215221483
